[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: GeForce GTX 745
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.7
   2000				1.3
   3000				1.9
   4000				2.5
   5000				2.9
   6000				3.4
   7000				3.7
   8000				4.0
   9000				4.5
   10000			4.8
   11000			5.0
   12000			5.4
   13000			5.6
   14000			5.9
   15000			6.1
   16000			6.1
   17000			6.5
   18000			6.7
   19000			6.8
   20000			7.1
   22000			7.3
   24000			7.6
   26000			7.9
   28000			8.1
   30000			8.2
   32000			8.3
   34000			8.7
   36000			8.9
   38000			8.9
   40000			9.1
   42000			9.1
   44000			9.4
   46000			9.5
   48000			9.6
   50000			9.5
   60000			10.2
   70000			10.4
   80000			10.8
   90000			10.9
   100000			11.1
   200000			12.0
   300000			12.4
   400000			12.5
   500000			12.7
   600000			12.8
   700000			12.8
   800000			12.8
   900000			12.9
   1000000			12.8
   2000000			12.9
   3000000			12.9
   4000000			13.0
   5000000			13.0
   6000000			13.0
   7000000			13.0
   8000000			13.0
   9000000			13.0
   10000000			13.0
   11000000			13.0
   12000000			13.0
   13000000			13.0
   14000000			13.0
   15000000			13.0
   16000000			13.0
   18000000			13.0
   20000000			13.1
   22000000			13.0
   24000000			13.0
   26000000			13.0
   28000000			13.0
   30000000			13.1
   32000000			13.0
   36000000			13.1
   40000000			13.1
   44000000			13.1
   48000000			13.1
   52000000			13.1
   56000000			13.1
   60000000			13.1
   64000000			13.1
   68000000			13.1

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.7
   2000				1.4
   3000				2.2
   4000				3.0
   5000				3.7
   6000				4.2
   7000				4.6
   8000				5.0
   9000				5.3
   10000			5.6
   11000			6.0
   12000			6.0
   13000			6.5
   14000			6.8
   15000			7.0
   16000			7.2
   17000			7.4
   18000			7.5
   19000			7.7
   20000			7.7
   22000			8.2
   24000			8.4
   26000			8.7
   28000			8.8
   30000			9.1
   32000			9.3
   34000			9.4
   36000			9.1
   38000			9.7
   40000			9.9
   42000			10.0
   44000			10.1
   46000			10.3
   48000			10.3
   50000			10.4
   60000			10.8
   70000			11.1
   80000			11.3
   90000			11.5
   100000			11.6
   200000			12.1
   300000			12.3
   400000			12.4
   500000			12.5
   600000			12.5
   700000			12.6
   800000			12.6
   900000			12.6
   1000000			12.6
   2000000			12.6
   3000000			12.6
   4000000			12.6
   5000000			12.6
   6000000			12.7
   7000000			12.7
   8000000			12.7
   9000000			12.7
   10000000			12.7
   11000000			12.7
   12000000			12.7
   13000000			12.7
   14000000			12.7
   15000000			12.7
   16000000			12.7
   18000000			12.7
   20000000			12.7
   22000000			12.7
   24000000			12.7
   26000000			12.7
   28000000			12.7
   30000000			12.7
   32000000			12.7
   36000000			12.7
   40000000			12.7
   44000000			12.7
   48000000			12.7
   52000000			12.7
   56000000			12.7
   60000000			12.7
   64000000			12.7
   68000000			12.7

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.7
   2000				1.4
   3000				2.2
   4000				2.9
   5000				3.7
   6000				3.8
   7000				5.1
   8000				5.8
   9000				6.6
   10000			7.2
   11000			8.1
   12000			8.8
   13000			9.7
   14000			10.5
   15000			11.1
   16000			11.7
   17000			12.6
   18000			13.0
   19000			12.3
   20000			12.5
   22000			13.5
   24000			14.7
   26000			15.5
   28000			16.8
   30000			18.0
   32000			19.3
   34000			20.7
   36000			21.7
   38000			23.0
   40000			22.7
   42000			23.0
   44000			22.7
   46000			23.7
   48000			24.7
   50000			25.6
   60000			30.5
   70000			33.6
   80000			35.5
   90000			40.0
   100000			40.9
   200000			58.0
   300000			68.5
   400000			73.2
   500000			77.4
   600000			81.6
   700000			82.6
   800000			84.3
   900000			86.3
   1000000			78.8
   2000000			24.5
   3000000			24.9
   4000000			25.0
   5000000			24.9
   6000000			25.0
   7000000			25.2
   8000000			25.1
   9000000			25.2
   10000000			25.1
   11000000			25.2
   12000000			25.2
   13000000			25.2
   14000000			25.2
   15000000			25.2
   16000000			25.2
   18000000			25.3
   20000000			25.2
   22000000			25.3
   24000000			25.2
   26000000			25.2
   28000000			25.3
   30000000			25.2
   32000000			25.3
   36000000			25.3
   40000000			25.3
   44000000			25.2
   48000000			25.3
   52000000			25.3
   56000000			25.3
   60000000			25.3
   64000000			25.3
   68000000			25.3

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
