==404== NVPROF is profiling process 404, command: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 16 -c
==404== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 16 -c
==404== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",83.051891,34.551282,40,863.782045,750.145573,999.137158,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",9.261819,3.853106,1080,3.567690,0.067900,14.708735,"[CUDA memcpy HtoD]"
"GPU activities",7.686290,3.197654,680,4.702431,0.060861,16.065851,"[CUDA memcpy DtoH]"
"API calls",99.278734,42.816814,1760,24.327735,0.239030,1014.855363,"cudaMemcpy"
"API calls",0.698350,0.301184,27,11.154950,0.171173,296.388848,"cudaMalloc"
"API calls",0.008830,0.003808,27,0.141038,0.094519,0.648223,"cudaFree"
"API calls",0.008598,0.003708,40,0.092706,0.072621,0.193555,"cudaLaunchKernel"
"API calls",0.003307,0.001426,192,0.007427,0.000317,0.333704,"cuDeviceGetAttribute"
"API calls",0.001292,0.000557,40,0.013927,0.009542,0.030756,"cudaDeviceSynchronize"
"API calls",0.000557,0.000240,2,0.120171,0.115351,0.124991,"cuDeviceTotalMem"
"API calls",0.000242,0.000104,2,0.052174,0.040549,0.063799,"cuDeviceGetName"
"API calls",0.000053,0.000023,2,0.011417,0.007395,0.015440,"cuDeviceGetPCIBusId"
"API calls",0.000026,0.000011,4,0.002776,0.000331,0.009822,"cuDeviceGet"
"API calls",0.000009,0.000004,3,0.001253,0.000448,0.002323,"cuDeviceGetCount"
"API calls",0.000003,0.000001,2,0.000623,0.000445,0.000802,"cuDeviceGetUuid"
