==34309== NVPROF is profiling process 34309, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 8 -c
==34309== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 8 -c
==34309== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.602208,74.228806,640,115.982509,27.439468,244.888049,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.118338,3.301209,5280,0.625229,0.067421,1.436858,"[CUDA memcpy HtoD]"
"GPU activities",3.279454,2.628770,4280,0.614198,0.060893,1.462745,"[CUDA memcpy DtoH]"
"API calls",97.572263,80.180336,80,1002.254199,240.856436,2083.220186,"cudaDeviceSynchronize"
"API calls",1.520866,1.249777,28,44.634883,33.394514,322.247265,"cudaHostAlloc"
"API calls",0.459032,0.377211,1240,0.304202,0.201752,12.849085,"cudaMemcpy"
"API calls",0.350913,0.288364,28,10.298700,9.652470,15.401776,"cudaFreeHost"
"API calls",0.069062,0.056752,8320,0.006821,0.004408,0.650391,"cudaMemcpyAsync"
"API calls",0.014634,0.012025,640,0.018789,0.011710,0.171112,"cudaLaunchKernel"
"API calls",0.006323,0.005196,27,0.192439,0.137942,0.829921,"cudaMalloc"
"API calls",0.004280,0.003517,27,0.130255,0.099245,0.270369,"cudaFree"
"API calls",0.001660,0.001364,192,0.007103,0.000300,0.325593,"cuDeviceGetAttribute"
"API calls",0.000355,0.000292,8,0.036480,0.003009,0.150364,"cudaStreamCreate"
"API calls",0.000284,0.000233,2,0.116704,0.108919,0.124490,"cuDeviceTotalMem"
"API calls",0.000195,0.000160,2,0.079975,0.064191,0.095760,"cuDeviceGetName"
"API calls",0.000097,0.000080,8,0.009963,0.003311,0.052021,"cudaStreamDestroy"
"API calls",0.000029,0.000024,2,0.011822,0.007008,0.016637,"cuDeviceGetPCIBusId"
"API calls",0.000004,0.000004,3,0.001223,0.000485,0.002459,"cuDeviceGetCount"
"API calls",0.000003,0.000003,4,0.000695,0.000330,0.001580,"cuDeviceGet"
"API calls",0.000001,0.000001,2,0.000596,0.000455,0.000737,"cuDeviceGetUuid"
