==8311== NVPROF is profiling process 8311, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 32 -c
==8311== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 32 -c
==8311== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.640943,74.278681,1520,48.867553,1.661871,61.322123,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.088724,3.278302,11440,0.286564,0.011904,0.440938,"[CUDA memcpy HtoD]"
"GPU activities",3.270334,2.622124,9560,0.274280,0.010591,0.479401,"[CUDA memcpy DtoH]"
"API calls",97.618447,80.400696,80,1005.008696,240.366799,2089.997955,"cudaDeviceSynchronize"
"API calls",1.460576,1.202963,28,42.962952,32.275996,296.635280,"cudaHostAlloc"
"API calls",0.439346,0.361855,1240,0.291818,0.194858,5.691554,"cudaMemcpy"
"API calls",0.292880,0.241223,28,8.615092,7.956246,10.808644,"cudaFreeHost"
"API calls",0.147830,0.121756,19760,0.006161,0.004256,0.694804,"cudaMemcpyAsync"
"API calls",0.027755,0.022860,1520,0.015039,0.011067,0.151293,"cudaLaunchKernel"
"API calls",0.006213,0.005117,27,0.189515,0.137375,0.754076,"cudaMalloc"
"API calls",0.003876,0.003192,27,0.118233,0.085741,0.271860,"cudaFree"
"API calls",0.001726,0.001422,192,0.007403,0.000317,0.344912,"cuDeviceGetAttribute"
"API calls",0.000636,0.000523,32,0.016358,0.001569,0.157132,"cudaStreamCreate"
"API calls",0.000291,0.000240,2,0.119866,0.114683,0.125049,"cuDeviceTotalMem"
"API calls",0.000246,0.000202,32,0.006324,0.001876,0.083403,"cudaStreamDestroy"
"API calls",0.000130,0.000107,2,0.053427,0.040039,0.066815,"cuDeviceGetName"
"API calls",0.000039,0.000032,2,0.016027,0.007302,0.024753,"cuDeviceGetPCIBusId"
"API calls",0.000005,0.000004,3,0.001248,0.000584,0.002240,"cuDeviceGetCount"
"API calls",0.000004,0.000003,4,0.000815,0.000322,0.001760,"cuDeviceGet"
"API calls",0.000002,0.000001,2,0.000688,0.000438,0.000939,"cuDeviceGetUuid"
