==2156== NVPROF is profiling process 2156, command: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 256 -c
==2156== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 256 -c
==2156== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",84.748224,18.544467,40,463.611663,408.441907,565.916421,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",8.594729,1.880684,1080,1.741374,0.067613,13.594624,"[CUDA memcpy HtoD]"
"GPU activities",6.657046,1.456684,680,2.142182,0.060797,7.994196,"[CUDA memcpy DtoH]"
"API calls",98.532625,22.489839,1760,12.778317,0.227529,573.048865,"cudaMemcpy"
"API calls",1.424515,0.325142,27,12.042302,0.150348,320.835856,"cudaMalloc"
"API calls",0.017293,0.003947,40,0.098675,0.081115,0.186603,"cudaLaunchKernel"
"API calls",0.014501,0.003310,27,0.122582,0.087749,0.563083,"cudaFree"
"API calls",0.006099,0.001392,192,0.007250,0.000303,0.343905,"cuDeviceGetAttribute"
"API calls",0.003344,0.000763,40,0.019082,0.012808,0.035867,"cudaDeviceSynchronize"
"API calls",0.001029,0.000235,2,0.117397,0.108203,0.126592,"cuDeviceTotalMem"
"API calls",0.000459,0.000105,2,0.052410,0.038205,0.066616,"cuDeviceGetName"
"API calls",0.000103,0.000023,2,0.011711,0.007251,0.016171,"cuDeviceGetPCIBusId"
"API calls",0.000015,0.000003,3,0.001134,0.000456,0.002328,"cuDeviceGetCount"
"API calls",0.000013,0.000003,4,0.000757,0.000300,0.001848,"cuDeviceGet"
"API calls",0.000005,0.000001,2,0.000531,0.000463,0.000600,"cuDeviceGetUuid"
